id;name;note_to_teacher;original_class_date;new_class_date;requested_by;created_date;school_group_id;building_id;original_start_time_id;class_duration_id
1;mobile Fish;Home Loan Account Table Computer;2019-12-24;2019-12-24;seamless Metal deposit;2019-12-24T14:57:21;1;1;1;1
2;transmitter Implementation Electronics;Soap methodology Albania;2019-12-24;2019-12-24;Namibia;2019-12-24T06:42:47;2;2;2;2
3;Gorgeous Frozen Pants;Common;2019-12-23;2019-12-24;syndicate;2019-12-23T16:42:45;3;3;3;3
4;Canyon HDD;Table Small Frozen Sausages Planner;2019-12-23;2019-12-24;Music;2019-12-24T10:46:06;4;4;4;4
5;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2019-12-24;2019-12-23;convergence;2019-12-24T11:19:09;5;5;5;5
6;Georgia Industrial;connect Markets Chief;2019-12-24;2019-12-23;archive Georgia Aruba;2019-12-23T17:14:31;6;6;6;6
7;navigating;interactive generating compelling;2019-12-24;2019-12-24;bifurcated scalable;2019-12-24T12:20:36;7;7;7;7
8;Industrial;index orange;2019-12-24;2019-12-24;magenta monitor 1080p;2019-12-24T01:46:01;8;8;8;8
9;Identity;Frozen IB;2019-12-24;2019-12-24;Ergonomic;2019-12-24T07:24:37;9;9;9;9
10;Lempira;pixel withdrawal;2019-12-23;2019-12-24;embrace Developer;2019-12-23T19:56:10;10;10;10;10
