id;subject;class_date;school_group_id;building_id;class_room_id;start_time_id;class_duration_id
1;mobile Fish;2019-12-30;1;1;1;1;1
2;Savings Account Dam;2019-12-31;2;2;2;2;2
3;Trace;2019-12-31;3;3;3;3;3
4;Metal deposit;2019-12-31;4;4;4;4;4
5;transmitter Implementation Electronics;2019-12-30;5;5;5;5;5
6;Money Market Account;2019-12-30;6;6;6;6;6
7;Grocery Home;2019-12-30;7;7;7;7;7
8;enable Gorgeous Frozen Pants;2019-12-31;8;8;8;8;8
9;Licensed Savings Account;2019-12-31;9;9;9;9;9
10;Planner Canyon;2019-12-30;10;10;10;10;10
